token	source	category	definition
mtei	spec	tag_script	Meitei Mayek (Meithei, Meetei)	
mend	spec	tag_script	Mende Kikakui	
merc	spec	tag_script	Meroitic Cursive	
mero	spec	tag_script	Meroitic Hieroglyphs	
plrd	spec	tag_script	Miao	
modi	spec	tag_script	Modi	
mong	spec	tag_script	Mongolian	
mroo	spec	tag_script	Mro	
mult	spec	tag_script	Multani	
musc	spec	tag_script	Musical Symbols	
mymr	spec	tag_script	Myanmar	(deprecated in favor of 'mym2')
mym2	spec	tag_script	Myanmar v.2	
nbat	spec	tag_script	Nabataean	
nagm	spec	tag_script	Nag Mundari	
nand	spec	tag_script	Nandinagari	
newa	spec	tag_script	Newa	
talu	spec	tag_script	New Tai Lue	
nko 	spec	tag_script	N'Ko	
nshu	spec	tag_script	Nüshu	
hmnp	spec	tag_script	Nyiakeng Puachue Hmong	
orya	spec	tag_script	Odia	
ory2	spec	tag_script	Odia v.2	
ogam	spec	tag_script	Ogham	
olck	spec	tag_script	Ol Chiki	
onao	spec	tag_script	Ol Onal	
ital	spec	tag_script	Old Italic	
hung	spec	tag_script	Old Hungarian	
narb	spec	tag_script	Old North Arabian	
perm	spec	tag_script	Old Permic	
xpeo	spec	tag_script	Old Persian Cuneiform	
sogo	spec	tag_script	Old Sogdian	
sarb	spec	tag_script	Old South Arabian	
orkh	spec	tag_script	Old Turkic, Orkhon Runic	
ougr	spec	tag_script	Old Uyghur	
osge	spec	tag_script	Osage	
osma	spec	tag_script	Osmanya	
hmng	spec	tag_script	Pahawh Hmong	
palm	spec	tag_script	Palmyrene	
pauc	spec	tag_script	Pau Cin Hau	
phag	spec	tag_script	Phags-pa	
phnx	spec	tag_script	Phoenician	
phlp	spec	tag_script	Psalter Pahlavi	
rjng	spec	tag_script	Rejang	
runr	spec	tag_script	Runic	
samr	spec	tag_script	Samaritan	
saur	spec	tag_script	Saurashtra	
shrd	spec	tag_script	Sharada	
shaw	spec	tag_script	Shavian	
sidd	spec	tag_script	Siddham	
sidt	spec	tag_script	Sidetic	
sgnw	spec	tag_script	Sign Writing	
sinh	spec	tag_script	Sinhala	
sogd	spec	tag_script	Sogdian	
sora	spec	tag_script	Sora Sompeng	
soyo	spec	tag_script	Soyombo	
xsux	spec	tag_script	Sumero-Akkadian Cuneiform	
sund	spec	tag_script	Sundanese	
sunu	spec	tag_script	Sunuwar	
sylo	spec	tag_script	Syloti Nagri	
syrc	spec	tag_script	Syriac	
tglg	spec	tag_script	Tagalog	
tagb	spec	tag_script	Tagbanwa	
tale	spec	tag_script	Tai Le	
lana	spec	tag_script	Tai Tham (Lanna)	
tavt	spec	tag_script	Tai Viet	
tayo	spec	tag_script	Tai Yo	
takr	spec	tag_script	Takri	
taml	spec	tag_script	Tamil	
tml2	spec	tag_script	Tamil v.2	
tnsa	spec	tag_script	Tangsa	
tang	spec	tag_script	Tangut	
telu	spec	tag_script	Telugu	
